chr,immune_pheno,mean_BFmed_any,max_BFmed_any,top_marker,top_immune_pheno,top_analysis
1,M_IntMacs_pctCCR2,1.8,1.8,SAJ016739818,M_IntMacs_pctCCR2,3group
10,M_IntMacs_pctMHCII,0.63,0.63,gUNC18221643,M_IntMacs_pctMHCII,3group
11,L_HelpTCells_pctofCD3,0.7,0.7,gUNC19922360,L_HelpTCells_pctofCD3,2group
13,L_NKTCells_pctCD69,0.83,0.83,UNC23461128,L_NKTCells_pctCD69,3group
13,L_NKTCells_pctofCD45,0.55,0.55,SAH134498107,L_NKTCells_pctofCD45,3group
15,G_Basophils_pctofCD45,0.15,0.15,mbackupUNC150438000,G_Basophils_pctofCD45,3group
15,L_HelpTCells_pctEffector,0.27,0.27,gUNC26048180,L_HelpTCells_pctEffector,3group
15,M_IntMacs_pctCCR2,-0.069,-0.069,gUNC26048180,M_IntMacs_pctCCR2,3group
15,M_IntMacs_pctCD40,0.44,0.44,S1L153193913,M_IntMacs_pctCD40,3group
15,M_Ly6Cn_MonoMac_pctCCR2,0.17,0.17,gUNC26048180,M_Ly6Cn_MonoMac_pctCCR2,3group
15,M_Ly6Cp_MonoMac_pctCCR2,-0.047,-0.047,gUNCHS040445,M_Ly6Cp_MonoMac_pctCCR2,3group
15,M_Ly6Cp_MonoMac_pctofCD45,1.5,1.5,mUNC25899852,M_Ly6Cp_MonoMac_pctofCD45,2group
15,M_pDC_pctCD40,0.43,0.43,gUNC26048180,M_pDC_pctCD40,3group
16,M_IntMacs_pctMHCII,1.2,1.2,gUNC26351740,M_IntMacs_pctMHCII,3group
16,M_Ly6Cp_MonoMac_pctMHCII,0.905,1.2,gUNC26351740,M_Ly6Cp_MonoMac_pctMHCII,3group
2,L_CytoTCells_pctNaive,0.76,0.76,S6T025109239,L_CytoTCells_pctNaive,3group
2,L_HelpTCells_pctNaive,0.618,1.3,gJAX00498115,L_HelpTCells_pctNaive,3group
2,M_AlveolarMacs_pctCCR2,0.034,0.034,SFT021381098,M_AlveolarMacs_pctCCR2,3group
2,M_CD103p_DC_pctCD40,-0.038,-0.038,gUNC020266358,M_CD103p_DC_pctCD40,3group
2,Titer,4.7,4.8,gUNC4128983,Titer,2group
3,L_CytoTCells_pctCD25,0.22,0.22,SSH031308287,L_CytoTCells_pctCD25,3group
3,L_CytoTCells_pctCD69,1.4,1.4,S6J032571692,L_CytoTCells_pctCD69,2group
3,L_HelpTCells_pctofCD45,3.2,3.2,gUNC6215314,L_HelpTCells_pctofCD45,2group
7,L_NKCells_pctCD69,0.52,0.77,SBT072729469,L_NKCells_pctCD69,3group
7,M_CD103p_DC_pctMHCII,0.745,0.84,gUNC13635236,M_CD103p_DC_pctMHCII,3group
7,M_IntMacs_pctCCR2,-0.002,-0.002,SBT072729469,M_IntMacs_pctCCR2,3group
7,M_IntMacs_pctMHCII,0.645,0.74,SBT072729469,M_IntMacs_pctMHCII,3group
9,L_DNTCells_pctCentMem,0.62,0.62,S3N094839317,L_DNTCells_pctCentMem,3group
9,M_Ly6Cp_MonoMac_pctCD86,-0.076,-0.076,S3N094839317,M_Ly6Cp_MonoMac_pctCD86,3group
X,L_CytoTCells_pctofCD3,-0.052,-0.052,SXX204285988,L_CytoTCells_pctofCD3,3group
X,M_AlveolarMacs_pctCD80,0.36,0.36,SXX202920953,M_AlveolarMacs_pctCD80,3group
