chr,immune_pheno,mean_BFmed,max_BFmed,top_marker,top_immune_pheno
10,M_IntMacs_pctMHCII,0.855,1.2,gUNC18221643,M_IntMacs_pctMHCII
11,L_HelpTCells_pctofCD3,1,1,gUNC19922360,L_HelpTCells_pctofCD3
13,G_Basophils_pctMHCII,0.79,0.79,gUNC23344507,G_Basophils_pctMHCII
13,L_NKTCells_pctCD69,0.54,0.57,UNC23461128,L_NKTCells_pctCD69
13,L_NKTCells_pctofCD45,0.74,0.74,SAH134498107,L_NKTCells_pctofCD45
15,M_Ly6Cp_MonoMac_pctofCD45,1.6,1.6,mUNC25899852,M_Ly6Cp_MonoMac_pctofCD45
16,M_IntMacs_pctMHCII,1.125,1.6,gUNC26351740,M_IntMacs_pctMHCII
16,M_Ly6Cp_MonoMac_pctMHCII,1.32,1.9,gUNC26351740,M_Ly6Cp_MonoMac_pctMHCII
2,L_CytoTCells_pctNaive,0.81,1.1,S6T025109239,L_CytoTCells_pctNaive
2,L_HelpTCells_pctNaive,0.795,1.2,gJAX00498115,L_HelpTCells_pctNaive
2,M_AlveolarMacs_pctCCR2,0.65,0.65,SFT021381098,M_AlveolarMacs_pctCCR2
2,Titer,4.45,4.8,gUNC4128983,Titer
3,L_CytoTCells_pctCD69,1.8,1.8,S6J032571692,L_CytoTCells_pctCD69
3,L_HelpTCells_pctofCD45,1.935,3.1,gUNC6215314,L_HelpTCells_pctofCD45
7,G_Eosinophils_pctofCD45,0.7,0.7,JAX00636482,G_Eosinophils_pctofCD45
7,L_NKCells_pctCD69,0.94,1.1,gUNC12899972,L_NKCells_pctCD69
7,M_CD103p_DC_pctMHCII,0.875,0.93,gUNC13635236,M_CD103p_DC_pctMHCII
7,M_IntMacs_pctMHCII,1.2,1.2,mUNC070621878,M_IntMacs_pctMHCII
9,L_DNTCells_pctCentMem,0.92,0.92,S3N094839317,L_DNTCells_pctCentMem
X,L_CytoTCells_pctofCD3,0.57,0.57,SXX204285988,L_CytoTCells_pctofCD3
X,M_AlveolarMacs_pctCD80,0.63,0.63,SXX202920953,M_AlveolarMacs_pctCD80
