chr,phenotype,qtl_id
1,L_HelpTCells_pctPD1,Irq1
1,M_IntMacs_pctCCR2,Irq2
2,G_AlveolarMacs_pctofCD45,Irq3
2,L_CytoTCells_pctCentMem,Irq4
2,L_CytoTCells_pctNaive,Irq4
2,L_HelpTCells_pctCentMem,Irq4
2,L_HelpTCells_pctNaive,Irq4
2,L_gdTCR_pctofCD45,Irq5
2,L_DNTCells_pctCD69,Irq32
2,M_CD103p_DC_pctMHCII,Irq33
2,Titer,Irq6
3,L_CytoTCells_pctCD25,Irq8
3,L_CytoTCells_pctCD69,Irq8
3,L_DNTCells_pctofCD3,Irq7
3,L_DNTCells_pctofCD45,Irq7
3,L_HelpTCells_pctCD69,Irq8
3,L_HelpTCells_pctofCD45,Irq9
3,L_NKTCells_pctCD69,Irq10
3,M_Ly6Cp_MonoMac_pctCCR2,Irq11
5,L_NKCells_pctPD1,Irq12
6,L_NKCells_pctNK11,Irq13
6,L_NKTCells_pctNK11,Irq13
7,G_Eosinophils_pctofCD45,Irq14
7,M_CD103p_DC_pctMHCII,Irq15
7,M_IntMacs_pctMHCII,Irq16
8,G_Neutrophils_pctofCD45,Irq34
8,L_HelpTCells_pctofCD3,Irq17
10,M_IntMacs_pctMHCII,Irq18
11,G_MastCells_pctofCD45,Irq19
11,L_BCells_pctPD1,Irq35
11,L_CytoTCells_pctofCD3,Irq20
11,L_CytoTCells_pctofCD45,Irq20
11,L_HelpTCells_pctofCD3,Irq36
11,L_NKCells_pctofCD45,Irq37
11,M_pDC_pctCD40,Irq38
12,L_pctCD45ofLive,
13,G_Basophils_pctFceR1,Irq21
13,G_Basophils_pctMHCII,Irq21
13,L_NKTCells_pctCD69,Irq22
13,L_NKTCells_pctofCD45,Irq22
15,G_Basophils_pctCD69,Irq23
15,G_Basophils_pctMHCII,Irq23
15,G_Basophils_pctofCD45,Irq23
15,M_IntMacs_pctCD40,Irq24
15,M_Ly6Cn_MonoMac_pctCCR2,Irq24
15,M_Ly6Cn_MonoMac_pctCD40,Irq24
15,M_Ly6Cn_MonoMac_pctCD80,Irq24
15,M_Ly6Cn_MonoMac_pctCD86,Irq24
15,M_Ly6Cn_MonoMac_pctMHCII,Irq24
15,M_Ly6Cn_MonoMac_pctofCD45,Irq24
15,M_Ly6Cp_MonoMac_pctCCR2,Irq24
15,M_Ly6Cp_MonoMac_pctofCD45,Irq24
15,M_pDC_pctCD40,Irq25
15,M_pDC_pctofCD45,Irq25
16,G_AlveolarMacs_pctMHCII,Irq26
16,L_DNTCells_pctEffector,Irq39
16,L_HelpTCells_pctCCR7,Irq40
16,M_AlveolarMacs_pctMHCII,Irq26
16,M_IntMacs_pctMHCII,Irq26
16,M_Ly6Cp_MonoMac_pctMHCII,Irq26
18,L_NKCells_pctofCD45,Irq27
X,L_CytoTCells_pctCentMem,Irq28
X,L_CytoTCells_pctEffector,Irq29
X,L_CytoTCells_pctofCD3,Irq29
X,L_CytoTCells_pctofCD45,Irq29
X,M_AlveolarMacs_pctCD80,Irq30
X,M_AlveolarMacs_pctCD86,Irq30
X,M_CD11Bp_DC_pctCCR2,Irq41
X,M_IntMacs_pctCD86,Irq30
X,M_pDC_pctCD40,Irq31
